usa,china
1,0
2,0
2,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,1
3,1
3,2
3,2
3,3
3,3
3,3
3,3
3,4
4,4
4,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
5,5
5,5
6,5
6,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,6
7,6
7,6
7,6
8,6
9,6
9,6
9,6
10,6
11,6
11,6
11,6
12,6
12,6
12,6
12,7
13,7
13,7
13,7
13,7
13,7
13,7
13,7
13,7
13,7
13,7
13,8
13,8
13,8
13,8
13,8
14,8
14,8
14,8
14,8
14,8
14,9
14,9
15,9
15,9
15,9
15,9
15,9
15,9
15,9
15,10
15,10
15,10
15,11
15,12
15,12
15,12
15,12
16,12
16,13
16,13
16,13
16,13
16,13
16,13
16,13
16,13
16,13
16,13
17,13
17,13
17,13
17,13
17,13
17,13
17,13
17,13
18,13
19,13
19,13
19,13
19,13
19,13
19,13
19,13
19,13
20,13
20,13
20,13
21,13
21,13
21,13
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
22,14
23,14
24,14
24,14
24,14
25,14
25,14
25,14
25,14
25,14
25,15
25,15
25,16
25,17
25,18
25,18
25,18
25,18
26,18
26,18
26,18
26,18
26,18
26,18
26,18
26,18
26,18
26,18
27,18
28,18
28,18
29,18
29,19
29,19
29,19
30,19
30,19
30,19
30,19
30,19
30,19
30,19
30,19
30,20
30,20
30,20
30,20
30,20
30,20
30,20
30,20
30,20
30,20
30,20
30,20
30,20
31,20
31,20
31,20
31,21
31,21
31,21
31,21
31,21
31,22
31,22
31,22
31,22
31,23
31,24
32,24
33,24
33,24
33,24
33,24
33,24
34,24
35,24
35,24
35,24
35,24
35,24
35,24
36,24
36,24
36,24
37,24
37,24
37,25
37,26
37,26
37,26
37,26
37,27
37,27
38,27
38,27
38,27
38,27
38,27
38,27
38,27
38,27
38,27
38,27
38,27
39,27
39,28
39,28
39,28
39,28
40,28
40,29
40,30
40,30
41,30
41,31
41,31
41,31
41,31
42,31
42,31
42,31
42,31
42,31
42,31
42,31
43,31
43,31
43,32
43,32
43,32
43,32
43,32
43,32
43,32
44,32
44,32
45,32
46,32
46,32
46,32
46,33
